verbatim_name,normalized_name,basic_name
Candeina nitida,Candeina nitida,Candeina nitida
Dentoglobigerina altispira _T_ _PL5,Dentoglobigerina altispira,Dentoglobigerina altispira
Dentoglobigerina altispira _T_ _PL5_,Dentoglobigerina altispira,Dentoglobigerina altispira
Dextral:Sinistral _P. obliquiloculata_,Pulleniatina obliquiloculata (dextral),Pulleniatina obliquiloculata
Dextral:Sinistral _P. obliquiloculata_,Pulleniatina obliquiloculata (sinistral),Pulleniatina obliquiloculata
Dextral:Sinistral _P. praecursor_,Pulleniatina praecursor (dextral),Pulleniatina praecursor
Dextral:Sinistral _P. praecursor_,Pulleniatina praecursor (sinistral),Pulleniatina praecursor
Dextral:Sinistral _P. primalis_,Pulleniatina primalis (dextral),Pulleniatina primalis
Dextral:Sinistral _P. primalis_,Pulleniatina primalis (sinistral),Pulleniatina primalis
Globigerina bulloides,Globigerina bulloides,Globigerina bulloides
Globigerina cf. woodi,Globigerina cf. woodi,Globigerina woodi
Globigerina falconensis,Globigerina falconensis,Globigerina falconensis
Globigerina umbilicata,Globigerina umbilicata,Globigerina umbilicata
Globigerinella aequilateralis,Globigerinella aequilateralis,Globigerinella aequilateralis
Globigerinella calida,Globigerinella calida,Globigerinella calida
Globigerinella calida _B,Globigerinella calida,Globigerinella calida
Globigerinella calida _B_,Globigerinella calida,Globigerinella calida
Globigerinella obesa,Globigerinella obesa,Globigerinella obesa
Globigerinita glutinata,Globigerinita glutinata,Globigerinita glutinata
Globigerinita parkerae,Globigerinita parkerae,Globigerinita parkerae
Globigerinita uvula,Globigerinita uvula,Globigerinita uvula
Globigerinoides bulloideus,Globigerinoides bulloideus,Globigerinoides bulloideus
Globigerinoides conglobatus,Globigerinoides conglobatus,Globigerinoides conglobatus
Globigerinoides extremus _T and B,Globigerinoides extremus,Globigerinoides extremus
Globigerinoides extremus _T and B_,Globigerinoides extremus,Globigerinoides extremus
Globigerinoides fistulosus,Globigerinoides fistulosus,Globigerinoides fistulosus
Globigerinoides obliquus _T,Globigerinoides obliquus,Globigerinoides obliquus
Globigerinoides obliquus _T_,Globigerinoides obliquus,Globigerinoides obliquus
Globigerinoides quadrilobatus,Globigerinoides quadrilobatus,Globigerinoides quadrilobatus
Globigerinoides ruber,Globigerinoides ruber,Globigerinoides ruber
Globigerinoides ruber (pink),Globigerinoides ruber (pink),Globigerinoides ruber
Globigerinoides ruber (white),Globigerinoides ruber (white),Globigerinoides ruber
Globigerinoides ruber _pink_ T,Globigerinoides ruber (pink),Globigerinoides ruber
Globigerinoides ruber _pink_ _T_,Globigerinoides ruber (pink),Globigerinoides ruber
Globigerinoides sacculifer,Globigerinoides sacculifer,Globigerinoides sacculifer
Globigerinoides sacculifer (without sack),Globigerinoides sacculifer (without sac),Globigerinoides sacculifer
Globigerinoides tenellus,Globigerinoides tenellus,Globigerinoides tenellus
Globigerinoides trilobus,Globigerinoides trilobus,Globigerinoides trilobus
Globigerinoidesella fistulosa _T and B_ _Pt1a,Globigerinoidesella fistulosa,Globigerinoidesella fistulosa
Globigerinoidesella fistulosa _T and B_ _Pt1a_,Globigerinoidesella fistulosa,Globigerinoidesella fistulosa
Globoconella miozea,Globoconella miozea,Globoconella miozea
Globorotalia (Globoconella) inflata,Globorotalia Globoconella inflata,Globorotalia Globoconella inflata
Globorotalia (Globorotalia) tumida tumida,Globorotalia Globoconella tumida tumida,Globorotalia Globoconella tumida tumida
Globorotalia (Hirsutella) hirsuta,Globorotalia Hirsutella hirsuta,Globorotalia Hirsutella hirsuta
Globorotalia (Hirsutella) scitula,Globorotalia Hirsutella scitula,Globorotalia Hirsutella scitula
Globorotalia (Truncorotalia) crossaformis,Globorotalia Truncorotalia crossaformis,Globorotalia Truncorotalia crossaformis
Globorotalia (Truncorotalia) truncatulinoides,Globorotalia Truncorotalia truncatulinoides,Globorotalia Truncorotalia truncatulinoides
Globorotalia anfracta,Globorotalia anfracta,Globorotalia anfracta
Globorotalia crassaformis,Globorotalia crassaformis,Globorotalia crassaformis
Globorotalia crassaformis sensu lato,Globorotalia s.l. crassaformis,Globorotalia crassaformis
Globorotalia flexuosa,Globorotalia flexuosa,Globorotalia flexuosa
Globorotalia flexuosa _T and B_,Globorotalia flexuosa,Globorotalia flexuosa
Globorotalia hessi,Globorotalia hessi,Globorotalia hessi
Globorotalia hessi _B_,Globorotalia hessi,Globorotalia hessi
Globorotalia hirsuta,Globorotalia hirsuta,Globorotalia hirsuta
Globorotalia inflata,Globorotalia inflata,Globorotalia inflata
Globorotalia limbata _B,Globorotalia limbata,Globorotalia limbata
Globorotalia limbata _B_,Globorotalia limbata,Globorotalia limbata
Globorotalia limbata _T_,Globorotalia limbata,Globorotalia limbata
Globorotalia margaritae _T and B_ _PL3,Globorotalia margaritae,Globorotalia margaritae
Globorotalia margaritae _T and B_ _PL3_,Globorotalia margaritae,Globorotalia margaritae
Globorotalia menardii,Globorotalia menardii,Globorotalia menardii
Globorotalia multicamerata _T,Globorotalia multicamerata,Globorotalia multicamerata
Globorotalia multicamerata _T_,Globorotalia multicamerata,Globorotalia multicamerata
Globorotalia plesiotumida _B_ _M13b_,Globorotalia plesiotumida,Globorotalia plesiotumida
Globorotalia plesiotumida _T,Globorotalia plesiotumida,Globorotalia plesiotumida
Globorotalia plesiotumida _T_,Globorotalia plesiotumida,Globorotalia plesiotumida
Globorotalia pseudomiocenica _T_ _PL6,Globorotalia pseudomiocenica,Globorotalia pseudomiocenica
Globorotalia pseudomiocenica _T_ _PL6_,Globorotalia pseudomiocenica,Globorotalia pseudomiocenica
Globorotalia scitula,Globorotalia scitula,Globorotalia scitula
Globorotalia tosaensis,Globorotalia tosaensis,Globorotalia tosaensis
Globorotalia tosaensis _T and B_ _Pt1b,Globorotalia tosaensis,Globorotalia tosaensis
Globorotalia tosaensis _T and B_ _Pt1b_,Globorotalia tosaensis,Globorotalia tosaensis
Globorotalia truncatulinoides,Globorotalia truncatulinoides,Globorotalia truncatulinoides
Globorotalia truncatulinoides _B,Globorotalia truncatulinoides,Globorotalia truncatulinoides
Globorotalia truncatulinoides _B_,Globorotalia truncatulinoides,Globorotalia truncatulinoides
Globorotalia tumida,Globorotalia tumida,Globorotalia tumida
Globorotalia tumida _B_ _PL1a_,Globorotalia tumida,Globorotalia tumida
Globoturborotalita apertura _T and B,Globoturborotalita apertura,Globoturborotalita apertura
Globoturborotalita apertura _T and B_,Globoturborotalita apertura,Globoturborotalita apertura
Globoturborotalita decoraperta _T and B,Globoturborotalita decoraperta,Globoturborotalita decoraperta
Globoturborotalita decoraperta _T and B_,Globoturborotalita decoraperta,Globoturborotalita decoraperta
Globoturborotalita rubescens,Globoturborotalita rubescens,Globoturborotalita rubescens
Neogloboquadrina acostaensis,Neogloboquadrina acostaensis,Neogloboquadrina acostaensis
Neogloboquadrina acostaensis (dextral),Neogloboquadrina acostaensis (dextral),Neogloboquadrina acostaensis
Neogloboquadrina cf. pachyderma,Neogloboquadrina cf. pachyderma,Neogloboquadrina pachyderma
Neogloboquadrina dutertrei,Neogloboquadrina dutertrei,Neogloboquadrina dutertrei
Neogloboquadrina humerosa,Neogloboquadrina humerosa,Neogloboquadrina humerosa
Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (dextral),Neogloboquadrina incompta
Neogloboquadrina inglei,Neogloboquadrina inglei,Neogloboquadrina inglei
Neogloboquadrina kagaensis,Neogloboquadrina kagaensis,Neogloboquadrina kagaensis
Neogloboquadrina nympha,Neogloboquadrina nympha,Neogloboquadrina nympha
Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma
Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma
Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma
"Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)",Neogloboquadrina pachyderma B
