Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Preservation,Group abundance,Globigerinoides conglobatus,Globigerinoides fistulosus,Globorotalia crassaformis sensu lato,Globorotalia flexuosa,Globorotalia hessi,Globorotalia tosaensis,Globorotalia tumida,Neogloboquadrina acostaensis (dextral),Neogloboquadrina humerosa,Pulleniatina coiling (dextral),Pulleniatina coiling (sinistral),Pulleniatina finalis,Sphaeroidinella dahiscens sensu lato
362-U1480E-1H-CC-PAL-FORAM_CHEN,0,5,7.71,7.76,,,,P [P43],R [A101],,,,,,,R [A102],,R [A102],,,,R [A102]
362-U1480E-2H-CC-PAL-FORAM_CHEN,0,5,17.54,17.59,,,,P [P43],A [A101],,,,R [A102],,,A [A102],,R [A102],20,0,R [A102],A [A102]
362-U1480E-3H-1-W 130/132-FORAM_CHEN,0,2,18.6,18.62,,,,P [P43],R [A101],,,,,F [A102],,C [A102],,F [A102],,,,A [A102]
362-U1480E-3H-2-W 70/72-FORAM_CHEN,0,2,19.5,19.52,"T Globorotalia tosaensis (Gradstein et al., 2012)",PT1a [AO12],"Globigerinoides fistulosus (Anthonissen and Ogg, 2012)",P [P43],A [A101],,,,,C [A102],R [A102],A [A102],,,23,0,R [A102],F [A102]
362-U1480E-3H-3-W 130/132-FORAM_CHEN,0,2,21.6,21.62,"T Neogloboquadrina acostaensis (Gradstein et al., 2012)",PT1a [AO12],"Globigerinoides fistulosus (Anthonissen and Ogg, 2012)",M [P43],A [A101],R [A102],,,R [A102],,R [A102],A [A102],F [A102],F [A102],35,12,F [A102],
362-U1480E-3H-3-W 30/32-FORAM_CHEN,0,2,20.6,20.62,,,,P [P43],R [A101],,,,,,,A [A102],,,,,,
362-U1480E-3H-4-W 81/83-FORAM_CHEN,0,2,22.61,22.63,"T Globigerinoides fistulosus (Gradstein et al., 2012)",PL6 [AO12],"Globorotalia pseudomiocenica (Indo-Pacific) (Anthonissen and Ogg, 2012)",P [P43],A [A101],R [A102],R [A102],,R [A102],,,A [A102],F [A102],F [A102],25,12,,R [A102]
362-U1480E-3H-5-W 130/132-FORAM_CHEN,0,2,24.6,24.62,,,,P [P43],A [A101],R [A102],,,R [A102],,,A [A102],C [A102],R [A102],3,6,,F [A102]
362-U1480E-3H-5-W 30/32-FORAM_CHEN,0,2,23.6,23.62,,,,P [P43],C [A101],R [A102],,,R [A102],,,A [A102],R [A102],R [A102],10,21,,F [A102]
362-U1480E-3H-6-W 70/72-FORAM_CHEN,0,2,25.5,25.52,,,,P [P43],C [A101],,,,R [A102],,,A [A102],C [A102],R [A102],0,1,,A [A102]
362-U1480E-3H-7-W 30/32-FORAM_CHEN,0,2,26.52,26.54,,,,P [P43],R [A101],,,,,,,A [A102],R [A102],,,,,C [A102]
362-U1480E-3H-CC-PAL-FORAM_CHEN,0,5,27.04,27.09,,,,M [P43],A [A101],R [A102],,,,,R [A102],C [A102],,F [A102],40,3,C [A102],C [A102]
362-U1480E-4H-4-W 15/17-FORAM_CHEN,0,2,30.57,30.59,,,,P [P43],A [A101],,,,R [A102],,,A [A102],R [A102],F [A102],17,7,F [A102],A [A102]
362-U1480E-4H-CC-PAL-FORAM_CHEN,0,5,31.57,31.62,,,,M [P43],R [A101],,,,,,,,,,,,,A [A102]
362-U1480E-5H-CC-PAL-FORAM_CHEN,0,5,40.38,40.43,,,,,B [A101],,,,,,,,,,,,,
362-U1480E-6H-CC-PAL-FORAM_CHEN,0,5,49.43,49.48,,,,M [P43],VR [101],,,,,,,,,R [A102],,,,
362-U1480E-7H-CC-PAL-FORAM_CHEN,0,5,57.94,57.99,,,,,B [A101],,,,,,,,,,,,,
362-U1480E-8H-CC-PAL-FORAM_CHEN,0,5,61.65,61.7,,,,,B [A101],,,,,,,,,,,,,
362-U1480E-9H-CC-PAL-FORAM_CHEN,0,5,71.49,71.54,,,,G [P43],F [A101],,,,,,,A [A102],,,0,1,,
362-U1480E-10H-4-W 44/46-FORAM_CHEN,0,2,76.14,76.16,,,,P [P43],A [A101],R [A102],,,,,,A [A102],R [A102],R [A102],1,5,,A [A102]
362-U1480E-10H-CC-PAL-FORAM_CHEN,0,5,81.29,81.34,,,,G [P43],A [A101],F [A102],,,R [A102],,,C [A102],R [A102],,1,2,,A [A102]
362-U1480E-11H-CC-PAL-FORAM_CHEN,0,5,90.17,90.22,,,,G [P43],A [A101],F [A102],,R [A102],,,,A [A102],F [A102],R [A102],11,4,,R [A102]
362-U1480E-12H-CC-PAL-FORAM_CHEN,0,5,99.93,99.98,,,,G [P43],A [A101],,,,,,,F [A102],F [A102],F [A102],3,0,,R [A102]
