taxon_group,verbatim_name,name,"name to use (if different from ""name"")",name comment field,Comment,notes,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Pyrite,Pyrite,,,"not a taxa; Going into Macrostrat, not PBDB","Summer 2020: deal with later; should go in as a taphonomony comment or sediment descriptor? LL: this is a sediment descriptor and I don't think it should go in the PBDB AF: the only place it might go is in as taphonomy, but then it'd get linked to every taxonomic occurence in the sample, right? That's not helpful. So delete, unless Joc that spurs some kind of thought. hmmm,  yes, I think by moving this to a taphonomy field, iit would be associated with the entire sample, rather than just the bfs... That's fine though, since it's relevant to the entire sample and not just the BFs. I think then it goes in taphonomy and/or sed descriptor. MAR '21: we have decided this should be a sed descriptor, will need to specify the name of the field in Baggage Stripper so that S & W-Y can map this correctly. Apr '21: AF and LL discussing with S, will update this row and Wai-Yin on what to do with this and other 'Sed Descriptor' entries.",,,,,,,,,,,,,,,,,,,,,,,,,
benthic_forams,Euuvigerina miozea (group) >100 m,Euuvigerina miozea (group) >100 m,Euuvigerina miozea,,group,"Summer 2020: enter ""Euuvigerina miozea"" and reproduce the entry as comment LL: agree with this b/c the way this is listed does not make sense AF: let's have a benthic foram person review ones that we make calls like this Spring 2021: AF: From ET, despite reservations about Euuvigerina being not a good genus to use, the 'group' refers to the waterdepth (>100 m). Both could be moved to the comment field",,,Euuvigerina,,,,miozea,,,,>100 m group,1408,Euuvigerina,genus,,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Euuvigerina rodleyi (group) >50 m,Euuvigerina rodleyi (group) >50 m,Euuvigerina rodleyi,,group,"Summer 2020: enter ""Euuvigerina miozea"" and reproduce the entry as comment? LL: same as above",,,Euuvigerina,,,,rodleyi,,,,>50 m group,1408,Euuvigerina,genus,,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Others,Others,Foraminifera indet.,,not a taxa,Andy,Foraminifera indet.,,,,,,,,,,other benthic foraminifera,288974,Foraminifera,phylum,,,,,,,,,,212476,Rhizaria
benthic_forams,Pleurostomellids comment,Pleurostomellids comment,Pleurostomellia indet.,,not a taxa,Andy,Pleurostomellidae indet.,,,,,,,,,,,155922,Pleurostomellidae,family,,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ostracoda spp.,Ostracoda spp.,Ostracoda indet.,Ostracoda spp.,group abundance,"Summer 2020: go in as Ostracoda indet, and the abu? LL: I think of spp. and indet. as two different things. Can we just list as Ostracoda with out the modifier? Unfortunately no, and strict taxonomic rule doesn't allow spp. above the generic level AF: I agree with Leah about the difference, but if that's the way we have to do it then that's the way it should be done. ",Ostracoda indet.,,,,,,,,,,,22826,Ostracoda,class,,,,,,,,18891,Arthropoda,325038,Animalia
benthic_forams,Elongated,Elongated,Foraminifera indet.,Elongated,not a taxa ,"Summer 2020: Andy; AF: same as above. I bet this was one person. TBH, if I were seeing loads of benthics in my samples, i wonder if this is what would happen? hmm",Foraminifera indet.,,,,,,,,,,,288974,Foraminifera,phylum,,,,,,,,,,212476,Rhizaria
benthic_forams,Planispiral,Planispiral,Foraminifera indet.,Planispiral,not a taxa,Summer 2020: Andy AF: Can't do better than 'benthic foraminifer' with this level of detail. Boooooooooooooooooo,Foraminifera indet.,,,,,,,,,,,288974,Foraminifera,phylum,,,,,,,,,,212476,Rhizaria
benthic_forams,Trochospiral,Trochospiral,Foraminifera indet.,Trochospiral,not a taxa,"Summer 2020: Andy; AF: Same, this is a morphological grouping that is nonsense at a taxonomic level. Benthic foraminifer",Foraminifera indet.,,,,,,,,,,,288974,Foraminifera,phylum,,,,,,,,,,212476,Rhizaria
benthic_forams,Tube-shaped agglutinated forms,Tube-shaped agglutinated forms,Textulariia indet.,Tube-shaped agglutinated forms,not a taxa,"Summer 2020: ""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further? AF: Agglutinates are the subclass Textulariia http://www.marinespecies.org/foraminifera/aphia.php?p=sourcedetails&id=131347",Textulariia indet.,,,,,,,,,,,434530,Textulariia,subclass,,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Unidentified agglutinants,Unidentified agglutinants,Textulariia indet.,Unidentified agglutinants,not a taxa,"Summer 2020: ""Agglutinated"" isn't a taxonomic name, so go in as ‎Foraminifera indet., this text as comment? Andy, could this be resolved further?; AF: Agglutinates are a subclass (lots of our taxonomic hierarchy at the higher level is based on test construction), so we can do Textulariia (subclass) as best.",Textulariia indet.,,,,,,,,,,,434530,Textulariia,subclass,,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Unidentified benthic forams,Unidentified benthic forams,Foraminifera indet.,,not a taxa,"Summer 2020: Andy; AF: This however sucks and can only be benthic foraminifera. Which given the way the taxonomy is, means that we can't do better than Foraminifera. Benthics are a big group.",Foraminifera indet.,,,,,,,,,,,288974,Foraminifera,phylum,,,,,,,,,,212476,Rhizaria
benthic_forams,Unilocular species,Unilocular species,Foraminifera indet.,,not a taxa,Summer 2020: Andy; AF: Foraminifera,Foraminifera indet.,,,,,,,,,,,288974,Foraminifera,phylum,,,,,,,,,,212476,Rhizaria
benthic_forams,Tapered,Tapered,Foraminifera indet.,Tapered,not a taxa,"Summer 2020: Andy; AF: Same, this is a morphological grouping that is nonsense at a taxonomic level. Benthic foraminifer",Foraminifera indet.,,,,,,,,,,,288974,Foraminifera,phylum,,,,,,,,,,212476,Rhizaria
benthic_forams,Nodosariid taxa,Nodosariid taxa,Nodosaria spp.,Nodosariid taxa,not a taxa; Nodosariata (class) or Nodosariana (subclass)?,Summer 2020: Andy AF: genus Nodosaria,,,Nodosaria,,,,spp.,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosariids,Nodosariids,Nodosaria spp.,Nodosariids,not a taxa; Nodosariata (class) or Nodosariana (subclass)?,Summer 2020: Andy AF: genus Nodosaria,,,Nodosaria,,,,spp.,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
